trajectory_id,regime,cross_sign,termination_reason,corrected_precursor_s,t_8_to_16_s,t_12_to_16_s,classification,max_alpha_deg,gamma_at_cross_deg,max_gamma_pre_cross_deg,split,crossing_time,ml_warned,ml_credited_lead_time_s,ml_row_population_available
traj_00195,stall,1.0,completed_normally,0.2199999999999997,0.2099999999999999,0.1099999999999994,gradual_monotonic_low_gamma,64.2039811275022,7.812303777810526,7.812303777810526,test,5.43,True,0.4899999999999993,True
traj_00300,stall,1.0,completed_normally,0.3100000000000005,0.29,0.1600000000000001,gradual_monotonic_low_gamma,53.56916408254359,10.708906383221532,10.708906383221532,test,5.9,True,0.6800000000000006,True
traj_00325,stall,-1.0,validity_envelope_gamma_exceeded,0.7799999999999998,0.71,0.5499999999999998,gradual_monotonic_low_gamma,16.24273918031894,-35.965062741771185,35.965062741771185,test,,False,,False
traj_00337,stall,-1.0,validity_envelope_gamma_exceeded,0.3799999999999999,0.3600000000000003,0.2300000000000004,gradual_monotonic_low_gamma,20.002256759022757,-20.26843486764917,20.26843486764917,test,,False,,False
traj_00343,stall,-1.0,validity_envelope_gamma_exceeded,0.3799999999999999,0.3700000000000001,0.2300000000000004,gradual_monotonic_low_gamma,20.078610587127244,-21.31713150754089,21.31713150754089,test,,False,,False
traj_00355,stall,1.0,validity_envelope_gamma_exceeded,0.2799999999999993,0.2599999999999998,0.1400000000000005,gradual_monotonic_low_gamma,60.30083195517445,12.147848978049822,12.147848978049822,test,5.59,True,0.6899999999999995,True
traj_00537,stall,1.0,completed_normally,0.4099999999999999,0.3900000000000001,0.2200000000000002,gradual_monotonic_low_gamma,42.20559573048515,9.042813224189056,9.042813224189056,test,1.6500000000000001,True,0.6500000000000001,True
traj_00611,stall,1.0,completed_normally,0.2800000000000002,0.2699999999999996,0.1499999999999994,gradual_monotonic_low_gamma,62.41990676373902,13.603777665875176,13.603777665875176,test,5.8100000000000005,True,0.6600000000000001,True
traj_00979,stall,1.0,validity_envelope_gamma_exceeded,0.4799999999999995,0.4599999999999999,0.2599999999999998,gradual_monotonic_low_gamma,40.61438222743917,14.94380887389421,14.94380887389421,test,4.3,True,0.96,True
traj_01029,stall,-1.0,validity_envelope_gamma_exceeded,0.7000000000000002,0.6600000000000001,0.4800000000000004,runaway_extreme,16.246832958165328,-40.93093809465101,40.93093809465101,test,,False,,False
traj_01232,stall,1.0,completed_normally,0.3199999999999994,0.3099999999999996,0.1699999999999999,gradual_monotonic_low_gamma,55.60643519048178,12.33065801837708,12.33065801837708,test,5.55,True,0.75,True
traj_01287,stall,1.0,completed_normally,0.2400000000000002,0.2300000000000004,0.1200000000000001,gradual_monotonic_low_gamma,63.479698228155144,9.41810651788112,9.41810651788112,test,5.42,True,0.5800000000000001,True
traj_01641,stall,1.0,completed_normally,0.3200000000000003,0.3100000000000005,0.1500000000000003,gradual_monotonic_low_gamma,53.24658710632457,6.2138487709245,6.2138487709245,test,4.54,True,0.6800000000000002,True
traj_02142,stall,1.0,completed_normally,0.2800000000000002,0.2700000000000004,0.1400000000000005,gradual_monotonic_low_gamma,60.21631532639787,10.765457235305623,10.765457235305623,test,5.08,True,0.6900000000000004,True
traj_02168,stall,1.0,validity_envelope_gamma_exceeded,0.2099999999999999,0.2000000000000001,0.1,gradual_monotonic_low_gamma,65.89467048375694,5.389565537450208,5.389565537450208,test,2.67,True,0.48999999999999977,True
traj_02185,stall,1.0,completed_normally,0.3899999999999997,0.3700000000000001,0.2000000000000001,gradual_monotonic_low_gamma,59.24481860200766,8.85765547344699,8.85765547344699,test,5.79,True,0.7800000000000002,True
traj_02307,stall,-1.0,validity_envelope_gamma_exceeded,0.3399999999999998,0.33,0.2000000000000001,gradual_monotonic_low_gamma,22.783636180849452,-16.639562276183334,16.639562276183334,test,,False,,False
traj_02342,stall,1.0,validity_envelope_gamma_exceeded,0.6399999999999997,0.6099999999999999,0.4199999999999999,gradual_monotonic_low_gamma,17.70271975546844,28.76164071670022,28.76164071670022,test,,False,,False
traj_02419,stall,1.0,completed_normally,0.29,0.2799999999999993,0.1200000000000001,gradual_monotonic_low_gamma,61.16210974527236,3.24561993718551,3.24561993718551,test,5.5600000000000005,True,0.5100000000000007,True
traj_02682,stall,1.0,validity_envelope_gamma_exceeded,0.3900000000000005,0.3700000000000001,0.1699999999999999,gradual_monotonic_low_gamma,49.994801164407576,6.9523304529798,6.9523304529798,test,6.86,True,0.7199999999999998,True
traj_03095,stall,-1.0,validity_envelope_gamma_exceeded,0.6000000000000001,0.5700000000000003,0.4000000000000003,gradual_monotonic_low_gamma,16.950932919225323,-28.394669367486067,28.394669367486067,test,,False,,False
traj_03108,stall,1.0,completed_normally,,,0.1000000000000005,gradual_monotonic_low_gamma,66.90073041366551,1.792693764221239,1.792693764221239,test,4.92,True,0.13999999999999968,True
