trajectory_id,generation_mode,random_seed,initial_airspeed,initial_altitude,initial_alpha,trim_throttle,trim_elevator,maximum_alpha,minimum_alpha,minimum_airspeed,maximum_airspeed,maximum_abs_gamma,whether_stall_occurred,time_of_first_stall,whether_validity_envelope_was_exceeded,termination_reason,n_steps,duration_actual_s,n_sanity_issues,sanity_issues,candidate
traj_0023,near_boundary,20260819,50.83782548101485,1071.9642344566025,0.046035225339313576,0.3693910589500366,0.014386007918535492,0.046035225339313576,-0.11739343269258218,50.83782548101076,61.71391811511784,0.7868195735255645,False,,True,validity_envelope_gamma_exceeded,834,8.33,0,,v03_b_gentle_longer_rise_lower_mag
traj_0024,near_boundary,20260819,60.42588094667964,581.262326422183,0.022031715496064575,0.45618748618827104,0.0068849110925201795,0.022190152327015576,-0.13905963740486726,60.27580936981383,68.49455538220586,0.7859630874343986,False,,True,validity_envelope_gamma_exceeded,1016,10.15,0,,v03_b_gentle_longer_rise_lower_mag
traj_0025,near_boundary,20260819,50.03574145681186,1182.2650227484573,0.04867600298254663,0.3637550065460724,0.015211250932045822,0.04867600298254663,-0.139241640255802,50.035741456793936,59.5489027735097,0.789394776108087,False,,True,validity_envelope_gamma_exceeded,950,9.49,0,,v03_b_gentle_longer_rise_lower_mag
traj_0026,near_boundary,20260819,57.31495682097073,1628.1004147120984,0.028537430110023323,0.4243915669474894,0.00891794690938229,0.028537430110144774,-0.13610424366298413,57.31495682097073,66.15705019431991,0.7865746494825318,False,,True,validity_envelope_gamma_exceeded,777,7.76,0,,v03_b_gentle_longer_rise_lower_mag
traj_0027,near_boundary,20260819,60.726670826342705,751.7254593039316,0.021454412273660146,0.45943085652816185,0.006704503835518795,0.02189788264478074,0.021289879486620127,60.35979508802283,60.87046184945463,0.004894672121305175,False,,False,completed_normally,2001,20.0,0,,v03_b_gentle_longer_rise_lower_mag
traj_0028,near_boundary,20260819,70.4914661787371,895.1939844252063,0.006498336570080831,0.5795580320410287,0.0020307301781502594,0.1527202216155641,0.006498336570052496,59.17589766499097,70.4914661787371,0.7858837791257152,False,,True,validity_envelope_gamma_exceeded,922,9.21,0,,v03_b_gentle_longer_rise_lower_mag
traj_0029,near_boundary,20260819,53.087973993206845,556.6877395850926,0.03924142860018646,0.386652687616705,0.012262946437558268,0.03951433569940368,0.03904323507089836,52.92866892457346,53.20753150783633,0.0025789078699084166,False,,False,completed_normally,2001,20.0,0,,v03_b_gentle_longer_rise_lower_mag
traj_0000,near_boundary,20260820,38.918594760612805,1410.210973930011,0.102883682691075,0.3208243985596528,0.032151150840960936,0.8392441467166538,0.07943648211922977,30.827609046775017,46.60534009508402,0.3356152341065663,True,4.32,False,completed_normally,2001,20.0,0,,v03_c_moderate_rise_higher_mag
traj_0001,near_boundary,20260820,64.18021926153973,718.1682875426593,0.015389680060170708,0.49870138486963705,0.004809275018803346,0.22151542249457146,0.015389680060039301,54.82118188404328,64.18021926153973,0.7860594230966247,False,,True,validity_envelope_gamma_exceeded,709,7.08,0,,v03_c_moderate_rise_higher_mag
traj_0002,near_boundary,20260820,43.13986843811208,1303.914281018941,0.07757173047428517,0.32828461531911074,0.024241165773214116,0.8673904629024491,0.05890444286084411,34.02053767613389,50.941366832273,0.35678107744469945,True,2.4,False,completed_normally,2001,20.0,0,,v03_c_moderate_rise_higher_mag
traj_0003,near_boundary,20260820,43.819953344201174,523.6848710883849,0.0741285029047773,0.330622175152627,0.023165157157742904,0.07512533149215128,0.07327836748353511,43.46811755632249,44.133533603421164,0.007486000463641225,False,,False,completed_normally,2001,20.0,0,,v03_c_moderate_rise_higher_mag
traj_0004,near_boundary,20260820,41.955831409902885,773.8421616313047,0.08395059901844565,0.3249173909767121,0.026234562193264265,0.08395059901849755,-0.16619325557531872,41.955831409902885,49.18622728686628,0.789028482961201,False,,True,validity_envelope_gamma_exceeded,587,5.86,0,,v03_c_moderate_rise_higher_mag
traj_0005,near_boundary,20260820,74.94168550730322,1545.6048127415804,0.0015206749449071673,0.643162270548177,0.00047521092028348977,0.0015206749449071673,-0.19197216520785032,74.94168550730322,79.09524318108731,0.7885972023185988,False,,True,validity_envelope_gamma_exceeded,340,3.39,0,,v03_c_moderate_rise_higher_mag
traj_0006,near_boundary,20260820,47.54691762309371,942.2980969024584,0.0577139531495725,0.34813114833149317,0.018035610359241408,0.0577139531495725,-0.1859408260482568,47.54691762309134,53.995768516252646,0.7894207084182814,False,,True,validity_envelope_gamma_exceeded,882,8.81,0,,v03_c_moderate_rise_higher_mag
traj_0007,near_boundary,20260820,60.7790148158373,1646.9696128714752,0.0213548115595348,0.4599982384568043,0.006673378612354624,0.0213548115595348,-0.18806507052982324,60.77901481583415,66.3665720791815,0.78733166360242,False,,True,validity_envelope_gamma_exceeded,653,6.5200000000000005,0,,v03_c_moderate_rise_higher_mag
traj_0008,near_boundary,20260820,47.36579076273949,1561.4339847959734,0.05842619121866994,0.3471099416544182,0.018258184755834357,0.058426191218719725,-0.17421689723091638,47.36579076273949,53.952918012832164,0.7882290757022319,False,,True,validity_envelope_gamma_exceeded,687,6.86,0,,v03_c_moderate_rise_higher_mag
traj_0009,near_boundary,20260820,33.16383793198711,519.2071457795181,0.15244207841186155,0.33627701762684564,0.047638149503706734,0.15476820321043122,0.14999903668839298,32.759311952412894,33.62973237267303,0.01524432581123081,False,,False,completed_normally,2001,20.0,0,,v03_c_moderate_rise_higher_mag
traj_0010,near_boundary,20260820,54.21739166776396,1115.3543838570133,0.03613951231164529,0.3960826171649911,0.011293597597389153,0.6194030590262831,0.03613951231160712,42.58672495020677,54.21739166776396,0.7857253007226854,True,7.32,True,validity_envelope_gamma_exceeded,830,8.290000000000001,0,,v03_c_moderate_rise_higher_mag
traj_0011,near_boundary,20260820,61.95543851627691,626.9661247153565,0.019181590964857293,0.47297940311726044,0.005994247176517904,0.019181590964857293,-0.21356461389575465,61.95543851627576,66.48190387119263,0.7870213644604888,False,,True,validity_envelope_gamma_exceeded,583,5.82,0,,v03_c_moderate_rise_higher_mag
traj_0012,near_boundary,20260820,72.40513348945456,1163.8257874021324,0.004246332077660854,0.6062632363347914,0.0013269787742690167,0.24522259704948002,0.004246332077660854,64.42781062037064,72.40513348949669,0.7884021306033032,False,,True,validity_envelope_gamma_exceeded,835,8.34,0,,v03_c_moderate_rise_higher_mag
traj_0013,near_boundary,20260820,64.3510176182412,1066.7858242009665,0.01511452244718357,0.5007380583318131,0.004723288264744865,0.23888355898285107,0.01511452244718357,55.72251515242132,64.3510176182412,0.7896766316547184,False,,True,validity_envelope_gamma_exceeded,427,4.26,0,,v03_c_moderate_rise_higher_mag
traj_0014,near_boundary,20260820,46.40666141882733,845.4053147245043,0.06233321250001407,0.34197948041785703,0.0194791289062544,0.06325622453553369,0.06152215071543095,46.02819701055996,46.75192896331772,0.007728601203720945,False,,False,completed_normally,2001,20.0,0,,v03_c_moderate_rise_higher_mag
traj_0015,near_boundary,20260820,34.41854853424676,665.671049466465,0.13973890595153152,0.32973161278986945,0.043668408109853604,0.13973890595153152,-0.21778184083054297,34.41854853424055,41.39212083360333,0.7892175098413463,False,,True,validity_envelope_gamma_exceeded,697,6.96,0,,v03_c_moderate_rise_higher_mag
traj_0016,near_boundary,20260820,67.16945217354922,623.8173424741144,0.0108694028543657,0.5355841555408741,0.003396688391989281,0.01098976858148091,0.010581323245880889,67.034792501063,67.48379177936016,0.003462208656509189,False,,False,completed_normally,2001,20.0,0,,v03_c_moderate_rise_higher_mag
traj_0017,near_boundary,20260820,68.96936560693364,648.8712054486176,0.008423583669996272,0.5590286716645934,0.002632369896873835,0.21733454176818545,0.008423583669899119,60.27819060727879,68.96936560693364,0.790197832877355,False,,True,validity_envelope_gamma_exceeded,577,5.76,0,,v03_c_moderate_rise_higher_mag
traj_0018,near_boundary,20260820,42.03890567835728,609.5500720783858,0.08348631275757384,0.3251234396219428,0.026089472736741826,0.08379656662204843,0.0832300968301034,41.94082863539163,42.123770563208886,0.0021248120405589392,False,,False,completed_normally,2001,20.0,0,,v03_c_moderate_rise_higher_mag
