trajectory_id,regime,offset_before_crossing_s,t_cross,actual_t,crossing_sign,termination_reason,alpha,V,gamma,pitch_rate,elevator,stall_margin
traj_0274,stall,0.0,5.46,5.46,-1.0,validity_envelope_gamma_exceeded,0.28044353970267466,68.86827725175608,-0.7873594863897305,1.0114007453098284,0.27376178732524464,-3.441783425650602e-06
traj_0282,stall,5.0,5.55,0.55,1.0,completed_normally,0.06281249708691417,46.29284263241609,1.7077660917966559e-13,1.6439529605032867e-13,0.01962890533970073,0.21762760083233484
traj_0282,stall,4.0,5.55,1.55,1.0,completed_normally,0.06281249708691694,46.29284263241407,3.7442610065262806e-13,2.1202329818339642e-13,0.01962890533970073,0.21762760083233207
traj_0282,stall,3.0,5.55,2.5500000000000003,1.0,completed_normally,0.06281249708692596,46.29284263241015,5.703041805136695e-13,1.9747433202993808e-13,0.01962890533970073,0.21762760083232305
traj_0282,stall,2.0,5.55,3.5500000000000003,1.0,completed_normally,0.06281249708693877,46.29284263240449,7.456321315678646e-13,1.7761024816893957e-13,0.01962890533970073,0.21762760083231025
traj_0282,stall,1.0,5.55,4.55,1.0,completed_normally,0.06281249708695515,46.29284263239739,8.943022230714536e-13,1.5150813360779454e-13,0.01962890533970073,0.21762760083229388
traj_0282,stall,0.5,5.55,5.05,1.0,completed_normally,0.08438014460952518,46.281414383629006,0.0037223330251433197,0.24633363377620338,0.13541704371167682,0.1960599533097238
traj_0282,stall,0.0,5.55,5.55,1.0,completed_normally,0.284509379985102,45.57662422471695,0.12452846483410547,0.8974762705858854,0.2629925386960437,-0.004069282065852997
traj_0291,near_boundary,4.0,4.0600000000000005,0.06,1.0,completed_normally,0.05692574567250397,47.74973054328177,-2.6338512038180878e-14,-5.717813886291965e-15,0.0177892955226493,0.22351435224674504
traj_0291,near_boundary,3.0,4.0600000000000005,1.06,1.0,completed_normally,0.056925745672599795,47.74973054328276,-2.5690407429781774e-13,-2.0056275072783581e-13,0.0177892955226493,0.22351435224664923
traj_0291,near_boundary,2.0,4.0600000000000005,2.06,1.0,completed_normally,0.056925745672591205,47.749730543285565,-4.457745452079493e-13,-1.917100702138378e-13,0.0177892955226493,0.2235143522466578
traj_0291,near_boundary,1.0,4.0600000000000005,3.06,1.0,completed_normally,0.0713269369106442,47.74093353251316,0.002896646525726589,0.14928261696587805,0.08412899005055714,0.2091131610086048
traj_0291,near_boundary,0.5,4.0600000000000005,3.56,1.0,completed_normally,0.18829473870491537,47.36152812413186,0.07665582020488913,0.5783904419101097,0.18418706927706494,0.09214535921433364
traj_0291,near_boundary,0.0,4.0600000000000005,4.0600000000000005,1.0,completed_normally,0.2806493836251887,45.63315968425932,0.27873482959687185,0.5481100444905431,0.17493921710063132,-0.00020928570593969908
