trajectory_id,regime,termination_reason,t_cross,time_alpha8_to_cross_s,time_alpha12_to_cross_s,t_elev_peak_minus_t_cross_s,elevator_peak_rad,elevator_hold_ge80pct_after_cross_s,duration_actual_s
traj_0260,near_boundary,completed_normally,3.3000000000000003,0.6200000000000001,0.38000000000000034,-0.5300000000000002,0.16104949499209362,0.05,20.0
traj_0262,stall,completed_normally,1.87,0.29000000000000004,0.16000000000000014,-0.20999999999999996,0.3213153894279086,2.88,20.0
traj_0270,stall,completed_normally,4.54,0.2699999999999996,0.15000000000000036,-0.3799999999999999,0.2842647668183523,2.82,20.0
traj_0272,stall,validity_envelope_gamma_exceeded,3.35,,0.16999999999999993,0.10000000000000009,0.29925200036908417,3.0100000000000002,8.71
traj_0273,stall,completed_normally,5.61,0.3100000000000005,0.14000000000000057,0.05999999999999961,0.306259974729517,3.72,20.0
traj_0282,stall,completed_normally,5.55,0.3199999999999994,0.16999999999999993,-0.1200000000000001,0.2629925386960437,3.25,20.0
traj_0291,near_boundary,completed_normally,4.0600000000000005,0.6800000000000006,0.4300000000000006,-0.47000000000000064,0.1844640928223871,0.12,20.0
traj_0302,stall,completed_normally,6.57,0.3799999999999999,0.21999999999999975,-0.33000000000000007,0.22335742437877515,4.03,20.0
traj_0312,near_boundary,completed_normally,7.1000000000000005,0.6800000000000006,0.45999999999999996,-0.5600000000000005,0.19721831917101743,0.15,20.0
traj_0318,stall,completed_normally,3.11,0.2799999999999998,0.13999999999999968,-0.19999999999999973,0.2694009889245235,2.83,20.0
traj_0327,near_boundary,completed_normally,6.42,0.41000000000000014,0.20999999999999996,-0.2999999999999998,0.1965513348589081,0.21,20.0
traj_0343,stall,completed_normally,2.08,0.33000000000000007,0.14000000000000012,-0.040000000000000036,0.28493621840566874,3.1,20.0
traj_0344,stall,validity_envelope_gamma_exceeded,1.46,0.19999999999999996,0.09999999999999987,-0.16999999999999993,0.33838499138996964,3.98,8.17
traj_0345,near_boundary,completed_normally,4.3100000000000005,0.6700000000000004,0.4100000000000006,-0.4100000000000006,0.18200482982908422,0.3,20.0
traj_0348,stall,validity_envelope_gamma_exceeded,2.5300000000000002,,0.2400000000000002,0.16999999999999993,0.2671635068865633,4.92,17.36
traj_0349,stall,completed_normally,2.59,0.34999999999999964,0.18999999999999995,-0.1499999999999999,0.3026319452242867,4.97,20.0
traj_0352,stall,completed_normally,5.12,,0.13999999999999968,0.019999999999999574,0.31695191325412647,4.58,20.0
traj_0353,stall,validity_envelope_gamma_exceeded,6.51,0.4499999999999993,0.2699999999999996,-0.3899999999999997,0.21174272432865573,5.08,12.84
traj_0360,stall,completed_normally,2.99,0.33000000000000007,0.16000000000000014,0.06000000000000005,0.29258943282520344,3.0300000000000002,20.0
traj_0382,stall,completed_normally,3.11,0.31999999999999984,0.1499999999999999,0.17000000000000037,0.34579650503018894,3.54,20.0
traj_0386,stall,completed_normally,2.0300000000000002,,0.2200000000000002,0.19999999999999973,0.26506290307655167,5.3,20.0
traj_0388,stall,validity_envelope_gamma_exceeded,2.23,0.6299999999999999,0.42999999999999994,-0.5899999999999999,0.23961356467239128,0.44,2.66
traj_0398,stall,validity_envelope_gamma_exceeded,5.69,0.4400000000000004,0.29000000000000004,-0.5700000000000003,0.26787956571370863,0.58,6.26
traj_0407,stall,validity_envelope_gamma_exceeded,2.45,0.4900000000000002,0.30000000000000027,-0.3400000000000003,0.2281723003211812,2.04,4.48
traj_0415,stall,completed_normally,1.97,0.28,0.11999999999999988,-0.07999999999999985,0.308245585441286,6.21,20.0
traj_0423,stall,completed_normally,5.3,0.3099999999999996,0.17999999999999972,-0.3799999999999999,0.23634190649909909,2.5500000000000003,20.0
traj_0425,near_boundary,completed_normally,1.8800000000000001,,0.22999999999999998,-0.030000000000000027,0.20363274375367213,0.62,20.0
