trajectory_id,regime,cross_sign,termination_reason,corrected_precursor_s,t_8_to_16_s,t_12_to_16_s,classification,max_alpha_deg,gamma_at_cross_deg,max_gamma_pre_cross_deg
traj_02238,gradual_approach_v3,1.0,completed_normally,4.459999999999999,4.4399999999999995,0.4800000000000004,gradual_monotonic_low_gamma,28.9710364414227,19.145935491263618,21.693742718118255
traj_02257,gradual_approach_v3,1.0,completed_normally,,,0.7599999999999998,gradual_monotonic_low_gamma,27.13155112682328,9.535539733174094,12.144915858392078
traj_02260,gradual_approach_v3,1.0,completed_normally,,,0.71,gradual_monotonic_low_gamma,27.16795842690614,6.1094382956802225,6.1094382956802225
traj_02266,gradual_approach_v3,1.0,completed_normally,,,1.0899999999999999,gradual_monotonic_low_gamma,28.770118344171085,5.377765724628143,5.377765724628143
traj_02290,gradual_approach_v3,1.0,completed_normally,4.56,4.54,0.6600000000000001,gradual_monotonic_low_gamma,21.361150072194043,19.336674243710174,25.174844333341554
traj_02311,gradual_approach_v3,1.0,completed_normally,,,0.75,gradual_monotonic_low_gamma,22.177989346913527,6.973856378133755,6.973856378133755
traj_02317,gradual_approach_v3,1.0,completed_normally,1.2400000000000002,1.2100000000000009,0.6900000000000013,runaway_extreme,19.786789620344475,40.320463410607665,40.320463410607665
traj_02325,gradual_approach_v3,1.0,completed_normally,5.000000000000001,4.990000000000001,0.4400000000000013,gradual_monotonic_low_gamma,22.163872201731795,25.300037627547734,33.758505478509
traj_02328,gradual_approach_v3,1.0,completed_normally,1.8399999999999999,1.8099999999999996,0.9100000000000001,gradual_monotonic_low_gamma,18.21535297320095,19.213674475759174,19.213674475759174
traj_02333,gradual_approach_v3,1.0,completed_normally,1.2999999999999998,1.2699999999999996,0.6499999999999995,gradual_monotonic_low_gamma,16.905323477001907,24.476606685867058,24.476606685867058
